lemma,roleset_id,role,description
occasion,occasion.01,ARG0,bringer about
occasion,occasion.01,ARG1,event
occupy,occupy.01,ARG0,occupier
occupy,occupy.01,ARG1,occupied
occupy,occupy.01,ARG2,secondary predication on arg1
occur,occur.01,ARG1,event
offend,offend.01,ARG0,offender
offend,offend.01,ARG1,offended
offend,offend.01,ARG2,"instrument, if separate from arg0"
offer,offer.01,ARG0,entity offering
offer,offer.01,ARG1,commodity
offer,offer.01,ARG2,price
offer,offer.01,ARG3,benefactive or entity offered to
offset,offset.01,ARG0,intentional agent
offset,offset.01,ARG1,thing whose impact we want to lessen
offset,offset.01,ARG2,balanced by
ogle,ogle.01,ARG0,"ogler, agent"
ogle,ogle.01,ARG1,entity ogled
omit,omit.01,ARG0,omitter
omit,omit.01,ARG1,thing left out
omit,omit.01,ARG2,left out of what
ooze,ooze.01,ARG1,liquid
open,open.01,ARG0,opener
open,open.01,ARG1,thing opening
open,open.01,ARG2,instrument
open,open.01,ARG3,benefactive
open,open.02,ARG1,thing opening
open,open.02,ARGM,"up, down, or unchanged"
open,open.02,ARGM,start point
open_up,open.03,ARG0,opener
open_up,open.03,ARG1,thing opening
open_up,open.03,ARG2,instrument
open_up,open.03,ARG3,benefactive
operate,operate.01,ARG0,"agent, operator"
operate,operate.01,ARG1,thing operated
operate,operate.01,ARG2,explicit patient (thing operated on)
operate,operate.01,ARG3,explicit role
operate,operate.01,ARG4,"explicit instrument (with or on, ususally)"
opine,opine.01,ARG0,speaker
opine,opine.01,ARG1,opinion
opine,opine.01,ARG2,hearer
oppose,oppose.01,ARG0,opposer
oppose,oppose.01,ARG1,thing opposed to
opt,opt.01,ARG0,chooser
opt,opt.01,ARG1,choice
orchestrate,orchestrate.01,ARG0,"conductor, manager"
orchestrate,orchestrate.01,ARG1,things being coordinated or managed
ordain,ordain.01,ARG0,"dictator, agent"
ordain,ordain.01,ARG1,thing dictated
order,order.01,ARG0,forcer
order,order.01,ARG1,impelled agent
order,order.01,ARG2,impelled action
order,order.02,ARG0,orderer
order,order.02,ARG1,thing ordered
order,order.02,ARG2,"benefactive, ordered-for"
order,order.02,ARG3,source
organize,organize.01,ARG0,organizer
organize,organize.01,ARG1,thing organized
organize,organize.01,ARG2,previous state
organize,organize.01,ARG3,benefactive
organize,organize.01,ARG4,end state
orient,orient.01,ARG0,"adjuster, focusser, agent"
orient,orient.01,ARG1,entity oriented
originate,originate.01,ARG0,creator
originate,originate.01,ARG1,thing originated
originate,originate.01,ARG2,source
originate,originate.01,ARG4,attribute of arg1
orphan,orphan.01,ARG0,causer
orphan,orphan.01,ARG1,orphan
oust,oust.01,ARG0,employer
oust,oust.01,ARG1,ex-employee
oust,oust.01,ARG2,job
outbid,outbid.01,ARG0,bidder
outbid,outbid.01,ARG1,"other, lesser bidder"
outbid,outbid.01,ARG2,goods
outdistance,outdistance.01,ARG0,entity ahead
outdistance,outdistance.01,ARG1,entity outdistanced
outdo,outdo.01,ARG0,entity doing better
outdo,outdo.01,ARG1,entity outdone
outfit,outfit.01,ARG0,provider
outfit,outfit.01,ARG1,entity getting equipment
outfit,outfit.01,ARG2,equipment
outflank,outflank.01,ARG1,agent
outflank,outflank.01,ARG2,entity outflanked
outgrow,outgrow.01,ARG0,entity getting too big
outgrow,outgrow.01,ARG1,too big for what
outlast,outlast.01,ARG0,longer lasting
outlast,outlast.01,ARG1,shorter lasting
outlaw,outlaw.01,ARG0,"judicial body, agent"
outlaw,outlaw.01,ARG1,criminal activity
outline,outline.01,ARG0,describer
outline,outline.01,ARG1,thing being described
outnumber,outnumber.01,ARG1,thing that's more
outnumber,outnumber.01,ARG2,thing that's less
outnumber,outnumber.01,ARG3,"margin, EXT"
outpace,outpace.01,ARG0,entity moving faster
outpace,outpace.01,ARG1,entity moving slower
outpace,outpace.01,ARG2,margin
outperform,outperform.01,ARG0,better performer
outperform,outperform.01,ARG1,other performer
outperform,outperform.01,ARG2,margin
outrage,outrage.01,ARG0,causer of anger
outrage,outrage.01,ARG1,angry entity
outrank,outrank.01,ARG0,entity with higher rank
outrank,outrank.01,ARG1,entity with lower rank
outsell,outsell.01,ARG0,better seller
outsell,outsell.01,ARG1,other seller
outsell,outsell.01,ARG2,margin
outshine,outshine.01,ARG0,entity compared to
outshine,outshine.01,ARG1,entity outshone
outstrip,outstrip.01,ARG0,thing that's more
outstrip,outstrip.01,ARG1,thing that's less
outstrip,outstrip.01,ARG2,"margin, difference"
outweigh,outweigh.01,ARG0,entity weighed
outweigh,outweigh.01,ARG1,entity compared to
overarch,overarch.01,ARG1,arch
overbid,overbid.01,ARG0,bidder
overbid,overbid.02,ARG0,higher bidder
overbid,overbid.02,ARG1,lower bidder
overcome,overcome.01,ARG0,overcomer
overcome,overcome.01,ARG1,difficulty
overdo,overdo.01,ARG0,"maker, preparer"
overdo,overdo.01,ARG1,"thing prepared, done"
overdose,overdose.01,ARG0,overdosed entity
overdose,overdose.01,ARG1,narcotic
overemphasize,overemphasize.01,ARG0,emphasizer
overemphasize,overemphasize.01,ARG1,utterance
overemphasize,overemphasize.01,ARG2,hearer
overflow,overflow.01,ARG1,container
overflow,overflow.01,ARG2,substance
overhang,overhang.01,ARG0,"thing hanging, thing over"
overhang,overhang.01,ARG1,"thing hung over, thing under"
overhaul,overhaul.01,ARG0,causer of transformation
overhaul,overhaul.01,ARG1,thing changing
overhaul,overhaul.01,ARG2,end state
overhaul,overhaul.01,ARG3,start state
overheat,overheat.01,ARG0,agent (rare)
overheat,overheat.01,ARG1,hot thing
overlap,overlap.01,ARG0,thing on top
overlap,overlap.01,ARG1,thing on bottom
overlap,overlap.01,ARG2,"EXT, margin"
overlay,overlay.01,ARG0,"who's putting what where, agent"
overlay,overlay.01,ARG1,thing laid
overlay,overlay.01,ARG2,over what
overlook,overlook.01,ARG0,"non-noticer, agent"
overlook,overlook.01,ARG1,thing overlooked
overlook,overlook.02,ARG0,place
overlook,overlook.02,ARG1,direction
overpay,overpay.01,ARG0,payer
overpay,overpay.01,ARG1,thing paid for
overpay,overpay.01,ARG2,person being paid
overpower,overpower.01,ARG0,entity with more power
overpower,overpower.01,ARG1,entity with less
overprice,overprice.01,ARG0,seller
overprice,overprice.01,ARG1,commodity
overreact,overreact.01,ARG0,entity overreacted
overreact,overreact.01,ARG1,reason
override,override.01,ARG0,"prevailer, agent"
override,override.01,ARG1,entity overriden
overrule,overrule.01,ARG0,"prevailer, agent"
overrule,overrule.01,ARG1,entity overruled
oversee,oversee.01,ARG0,supervisor
oversee,oversee.01,ARG1,thing supervised
oversell,oversell.01,ARG0,"seller, agent"
oversell,oversell.01,ARG1,entity oversold
overshadow,overshadow.01,ARG0,entity dominating
overshadow,overshadow.01,ARG1,entity overshadowed
simplify,oversimplify.01,ARG0,"agent, causer"
simplify,oversimplify.01,ARG1,entity simplified
overstate,overstate.01,ARG0,speaker
overstate,overstate.01,ARG1,utterance
overstate,overstate.01,ARG2,hearer
overstrain,overstrain.01,ARG0,causer of strain
overstrain,overstrain.01,ARG1,strained entity
overtake,overtake.01,ARG0,thing going beyond
overtake,overtake.01,ARG1,thing left in the dust
overtax,overtax.01,ARG0,taxer
overtax,overtax.01,ARG1,amount of tax
overtax,overtax.01,ARG2,taxpayer
overtax,overtax.01,ARG3,commodity
overthrow,overthrow.01,ARG0,"victor, agent"
overthrow,overthrow.01,ARG1,entity overthrown
overturn,overturn.01,ARG0,overturner (us. judge or court)
overturn,overturn.01,ARG1,"thing overturned, law or judgement"
overuse,overuse.01,ARG0,user
overuse,overuse.01,ARG1,thing used
overvalue,overvalue.01,ARG0,"assigner of value, agent"
overvalue,overvalue.01,ARG1,entity overvalued
overwhelm,overwhelm.01,ARG0,overwhelmer
overwhelm,overwhelm.01,ARG1,"patient, overwhelmed"
overwhelm,overwhelm.01,ARG2,instrument or manner
overwork,overwork.01,ARG0,employer
overwork,overwork.01,ARG1,worker
owe,owe.01,ARG0,payer or buyer
owe,owe.01,ARG1,price paid
owe,owe.01,ARG2,seller or person being paid
owe,owe.01,ARG3,commodity
own,own.01,ARG0,owner
own,own.01,ARG1,possession
own_up,own.02,ARG0,confessor
own_up,own.02,ARG1,sin
pace,pace.01,ARG0,subject-level mover
pace,pace.01,ARG1,object-level mover
pace,pace.02,ARG0,pacer
pace,pace.02,ARG1,path
pacify,pacify.01,ARG0,peacemaker
pacify,pacify.01,ARG1,pacified entity
pack,pack.01,ARG0,"packer, agent"
pack,pack.01,ARG1,beast of burden
pack,pack.01,ARG2,cargo
pack_up,pack.02,ARG0,"agent, packer"
pack_up,pack.02,ARG1,"pack, beast of burden"
package,package.01,ARG0,"packager, agent"
package,package.01,ARG1,entity packaged
package,package.01,ARG2,entity packaged into
package,package.01,ARG3,instrument
paint,paint.01,ARG0,"agent, painter"
paint,paint.01,ARG1,surface
paint,paint.01,ARG2,explicit mention of paint
paint,paint.02,ARG0,artist
paint,paint.02,ARG1,art
paint,paint.02,ARG2,benefactive
paint,paint.03,ARG0,describer
paint,paint.03,ARG1,thing described
paint,paint.03,ARG2,"secondary attribute, described-as"
pair,pair.01,ARG0,joiner
pair,pair.01,ARG1,"first thing, or both things"
pair,pair.01,ARG2,"second thing, if separate"
pair_up,pair.02,ARG0,joiner
pair_up,pair.02,ARG1,"first thing, or both things"
pair_up,pair.02,ARG2,"second thing, if separate"
pale,pale.01,ARG1,thing becoming pale
pale,pale.02,ARG1,"thing seeming pale, weak"
pale,pale.02,ARG2,in comparison to
palm_off,palm.01,ARG0,"disposer, agent"
palm_off,palm.01,ARG1,thing disposed of
pamper,pamper.01,ARG0,pamperer
pamper,pamper.01,ARG1,pampered
pan,pan.01,ARG0,"(gold)panner, agent"
pan,pan.01,ARG1,precious metals
pan_out,pan.02,ARG0,entity panning out
panic,panic.01,ARG1,panicker
pant,pant.01,ARG0,panter
pant,pant.02,ARG0,speaker
pant,pant.02,ARG1,utterance
pant,pant.02,ARG2,listener
parachute,parachute.01,ARGA,causal agent
parachute,parachute.01,ARG0,thing with a parachute
parachute,parachute.01,ARG1,where?
parallel,parallel.01,ARG0,"thing under consideration, figure"
parallel,parallel.01,ARG1,"in comparison to, ground"
paralyze,paralyze.01,ARG0,"cause of paralysis, agent"
paralyze,paralyze.01,ARG1,entity paralyzed
parcel_out,parcel.01,ARG0,"divider, agent"
parcel_out,parcel.01,ARG1,entity parceled out
parcel_out,parcel.01,ARG2,recipient
parch,parch.01,ARG0,"cause of dryness, agent"
parch,parch.01,ARG1,dry thing
pardon,pardon.01,ARG0,pardoner
pardon,pardon.01,ARG1,guilty party
pare,pare.01,ARG0,cutter
pare,pare.01,ARG1,thing cut
pare,pare.01,ARG2,"medium, source"
pare,pare.01,ARG3,instrument
pare,pare.02,ARG0,cutter
pare,pare.02,ARG1,thing being reduced
pare,pare.02,ARG2,EXT
pare,pare.02,ARG3,start point
pare,pare.02,ARG4,end point
pare_down,pare.03,ARG0,cutter
pare_down,pare.03,ARG1,thing cut
pare_down,pare.03,ARG2,"medium, source"
pare_down,pare.03,ARG3,instrument
pare_down,pare.04,ARG0,cutter
pare_down,pare.04,ARG1,thing being reduced
pare_down,pare.04,ARG2,EXT
pare_down,pare.04,ARG3,start point
pare_down,pare.04,ARG4,end point
park,park.01,ARG0,"parker, agent"
park,park.01,ARG1,entity parked
park,park.01,ARG2,parking place
parry,parry.01,ARG0,defender
parry,parry.01,ARG1,attack
parry,parry.01,ARG2,"instrument, defensive weapon"
part,part.01,ARG0,"agent, causer"
part,part.01,ARG1,entity/entities parted
partake,partake.01,ARG0,"agent, entity participating"
partake,partake.01,ARG1,take a part in what?
participate,participate.01,ARG0,"agent, entity participating"
participate,participate.01,ARG1,participating in what?
pass,pass.01,ARG0,legislative body
pass,pass.01,ARG1,"bill, state prior to passing"
pass,pass.01,ARG2,"law, state after passing"
pass,pass.02,ARG0,entity moving ahead
pass,pass.02,ARG1,entity falling behind
pass,pass.03,ARG1,thing passing
pass,pass.04,ARG0,allower
pass,pass.04,ARG1,thing let go by
pass,pass.05,ARG0,giver
pass,pass.05,ARG1,thing changing hands
pass,pass.05,ARG2,getter
pass,pass.06,ARG1,thing passing
pass,pass.06,ARG2,attributive
pass,pass.07,ARG1,student
pass,pass.07,ARG2,test
pass,pass.08,ARG0,passer
pass,pass.08,ARG1,thing passed
pass_on,pass.09,ARG0,giver
pass_on,pass.09,ARG1,thing changing hands
pass_on,pass.09,ARG2,getter
pass_out,pass.10,ARG0,distributor
pass_out,pass.10,ARG1,thing distributed
pass_out,pass.10,ARG2,distributed to
pass_out,pass.11,ARG0,fainter
pass_over,pass.12,ARG0,ignorer
pass_over,pass.12,ARG1,thing ignored
pass_up,pass.13,ARG0,entity relinquishing one item
pass_up,pass.13,ARG1,item relinquished
pass_up,pass.13,ARG2,in favor of another
pass_on,pass.14,ARG0,transmitter
pass_on,pass.14,ARG1,thing transmitted
pass_on,pass.14,ARG2,transmitted to
pass_on,pass.15,ARG1,thing dying
paste,paste.01,ARG0,"agent, entity doing the tying"
paste,paste.01,ARG1,"patient, thing(s) being tied"
paste,paste.01,ARG2,"instrument, string"
paste,paste.01,ARG3,attribute of arg1
paste,paste.02,ARG1,entity suffering
pasteurize,pasteurize.01,ARG0,"Pasteur, heater, agent"
pasteurize,pasteurize.01,ARG1,liquid
pat,pat.01,ARG0,patter
pat,pat.01,ARG1,patted
patch,patch.01,ARG0,"mender, agent"
patch,patch.01,ARG1,thing patched
patch_up,patch.02,ARG0,"mender, agent"
patch_up,patch.02,ARG1,thing patched
patent,patent.01,ARG0,"inventor, agent"
patent,patent.01,ARG1,invention
patrol,patrol.01,ARG0,"patroller, agent"
patrol,patrol.01,ARG1,"area, place"
patronize,patronize.01,ARG0,"patron, agent"
patronize,patronize.01,ARG1,entity patronized
pattern,pattern.01,ARG0,"copier, agent"
pattern,pattern.01,ARG1,copy
pattern,pattern.01,ARG2,original
pause,pause.01,ARG0,"thing pausing, agent or action"
pave,pave.01,ARG0,"applier of cover, agent"
pave,pave.01,ARG1,surface
pave,pave.01,ARG2,paving material
pave,pave.02,ARG0,preparer
pave,pave.02,ARG1,the way
pave,pave.02,ARG2,for what
paw,paw.01,ARG0,"handler, agent"
paw,paw.01,ARG1,"thing handled, patient"
pawn,pawn.01,ARG0,seller
pawn,pawn.01,ARG1,thing deposited
pay,pay.01,ARG0,payer or buyer
pay,pay.01,ARG1,money or attention
pay,pay.01,ARG2,"person being paid, destination of attention"
pay,pay.01,ARG3,"commodity, paid for what"
pay,pay.04,ARG1,thing succeeding or working out
pay_off,pay.02,ARG0,payer
pay_off,pay.02,ARG1,debt
pay_off,pay.05,ARG1,"thing succeeding, working out"
pay_out,pay.03,ARG0,payer or buyer
pay_out,pay.03,ARG1,money or attention
pay_out,pay.03,ARG2,"person being paid, destination of attention"
pay_out,pay.03,ARG3,"commodity, paid for what"
pay_down,pay.06,ARG0,payer
pay_down,pay.06,ARG1,debt
peak,peak.01,ARG1,thing being described
peak,peak.01,ARG2,maximum
peak,peak.01,ARG3,benefactive
peal,peal.01,ARG0,bellringer
peal,peal.01,ARG1,bell
peck,peck.01,ARG0,eater
peck,peck.01,ARG1,food
peck,peck.02,ARG0,"hitter, bird"
peck,peck.02,ARG1,thing hit
peck,peck.02,ARG2,beak
peck,peck.02,ARG3,end state of arg1
pedal,pedal.01,ARG0,pedaller
pedal,pedal.01,ARG1,bicycle
pedal,pedal.01,ARG2,path
peddle,peddle.01,ARG0,seller
peddle,peddle.01,ARG1,thing peddled
peddle,peddle.01,ARG2,peddled to
peddle,peddle.01,ARG3,price
peek,peek.01,ARG0,looker
peek,peek.01,ARG1,looked at
peel,peel.01,ARG0,"remover, agent"
peel,peel.01,ARG1,entity peeled
peel_off,peel.02,ARG0,"remover, cutter, agent"
peel_off,peel.02,ARG1,entity peeled off
peer,peer.01,ARG0,"looker, searcher, agent"
peer,peer.01,ARG1,entity peered into/at/over...
peg,peg.01,ARG0,"cause of stabilization, agent"
peg,peg.01,ARG1,entity pegged
peg,peg.01,ARG2,pegged to/at
pen,pen.01,ARG0,writer
pen,pen.01,ARG1,thing written
pen,pen.01,ARG2,written-to
pen,pen.02,ARG0,penner
pen,pen.02,ARG1,penned
penalize,penalize.01,ARG0,"applier of penalty, agent"
penalize,penalize.01,ARG1,entity penalized
penalize,penalize.01,ARG2,thing penalized for
penetrate,penetrate.01,ARG0,entity entering
penetrate,penetrate.01,ARG1,place or thing entered
people,people.01,ARG1,area
people,people.01,ARG2,population
pepper,pepper.01,ARG0,applier
pepper,pepper.01,ARG1,applied to
pepper,pepper.01,ARG2,metaphorical pepper
perceive,perceive.01,ARG0,perceiver
perceive,perceive.01,ARG1,entity perceived
perceive,perceive.01,ARG2,"secondary predication, perceived as"
perch,perch.01,ARG0,"placer, agent"
perch,perch.01,ARG1,thing perched
perch,perch.01,ARG2,"perched on, location"
perfect,perfect.01,ARG0,"cause of perfection, agent"
perfect,perfect.01,ARG1,entity perfected
perform,perform.01,ARG0,performer
perform,perform.01,ARG1,"performance, thing performed"
perform,perform.01,ARG2,instrument
perk_up,perk.01,ARG0,causer
perk_up,perk.01,ARG1,entity energised
permeate,permeate.01,ARG0,entity spreading
permeate,permeate.01,ARG1,entity permeated
permit,permit.01,ARG0,allower
permit,permit.01,ARG1,action allowed
permit,permit.01,ARG2,extracted allowed-agent
perpetrate,perpetrate.01,ARG0,perp
perpetrate,perpetrate.01,ARG1,crime
perpetrate,perpetrate.01,ARG2,victim
perpetuate,perpetuate.01,ARG0,causer of lasting long
perpetuate,perpetuate.01,ARG1,thing lasting long
persecute,persecute.01,ARG0,persecutor
persecute,persecute.01,ARG1,persecutee
persist,persist.01,ARG0,causal agent
persist,persist.01,ARG1,"thing continuing, persisting"
personalize,personalize.01,ARG0,"cause, agent"
personalize,personalize.01,ARG1,entity personalized
persuade,persuade.01,ARG0,convincer
persuade,persuade.01,ARG1,impelled agent
persuade,persuade.01,ARG2,"impelled action, proposition"
pertain,pertain.01,ARG0,entity pertaining
pertain,pertain.01,ARG1,pertaining to
perturb,perturb.01,ARG0,causer of perturbation
perturb,perturb.01,ARG1,perturbed entity
peruse,peruse.01,ARG0,"examiner, agent"
peruse,peruse.01,ARG1,thing perused
pervade,pervade.01,ARG0,entity spreading
pervade,pervade.01,ARG1,entity spread through
pester,pester.01,ARG0,causer
pester,pester.01,ARG1,person pestered
petition,petition.01,ARG0,"asker, agent"
petition,petition.01,ARG1,request
phase_out,phase.01,ARG0,eliminator
phase_out,phase.01,ARG1,thing eliminated
phone,phone.01,ARG0,agent making a call
phone,phone.01,ARG1,receiver
phone,phone.01,ARG2,message
photocopy,photocopy.01,ARG0,"copier, agent"
photocopy,photocopy.01,ARG1,thing copied
photograph,photograph.01,ARG0,photographer
photograph,photograph.01,ARG1,subject
pick,pick.01,ARG0,picker
pick,pick.01,ARG1,thing picked
pick,pick.01,ARG2,group or source
pick,pick.01,ARG3,benefactive
pick_on,pick.02,ARG0,bully
pick_on,pick.02,ARG1,bullied
pick_on,pick.07,ARG0,"remover, picker, agent"
pick_on,pick.07,ARG1,thing picked at
pick_on,pick.09,ARG0,picker
pick_on,pick.09,ARG1,thing picked (at)
pick_out,pick.03,ARG0,picker
pick_out,pick.03,ARG1,thing picked
pick_out,pick.03,ARG2,group or source
pick_up,pick.04,ARG0,"agent, entity acquiring something"
pick_up,pick.04,ARG1,thing acquired
pick_up,pick.04,ARG2,seller
pick_up,pick.04,ARG3,price paid
pick_up,pick.04,ARG4,benefactive
pick_up,pick.05,ARG1,thing increasing
pick_up,pick.05,ARG2,"amount increased by, EXT or MNR"
pick_up,pick.05,ARG3,start point
pick_up,pick.05,ARG4,end point
pick_up,pick.06,ARG0,agent of resuming
pick_up,pick.06,ARG1,thing resuming or continuing
pick_off,pick.08,ARG0,"remover, agent"
pick_off,pick.08,ARG1,pieces
pick_off,pick.08,ARG2,source
picture,picture.01,ARG0,"displayer, agent"
picture,picture.01,ARG1,thing pictured
piece,piece.01,ARG0,"assembler, agent"
piece,piece.01,ARG1,entity pieced
piece,piece.01,ARG2,pieces
piece,piece.01,ARG3,together
piggyback,piggyback.01,ARG0,rider
piggyback,piggyback.01,ARG1,thing ridden (the piggy?)
pile,pile.01,ARG0,piler
pile,pile.01,ARG1,substance being piled
pile,pile.01,ARG2,explicit mention of pile
pile,pile.03,ARG1,entity in motion
pile,pile.03,ARG2,destination
pile_up,pile.02,ARG0,agent of piling
pile_up,pile.02,ARG1,substance being piled
pile_on,pile.04,ARG0,agent of piling
pile_on,pile.04,ARG1,substance being piled
pile_on,pile.04,ARG2,explicit mention of pile
pillory,pillory.01,ARG0,causer
pillory,pillory.01,ARG1,entity pilloried
pin,pin.01,ARG0,"agent, entity causing two objects to be attached"
pin,pin.01,ARG1,"patient, thing(s) being tied"
pin,pin.01,ARG2,instrument
pinch,pinch.01,ARG0,"pincher, agent"
pinch,pinch.01,ARG1,thing touched
pinch,pinch.01,ARG2,"touched with, if separate from agent"
pinch,pinch.02,ARG0,"thief, agent"
pinch,pinch.02,ARG1,thing stolen
pinch,pinch.02,ARG2,stolen from
pine,pine.01,ARG0,piner
pine,pine.01,ARG1,thing desired
pine_away,pine.02,ARG0,piner
pine_away,pine.02,ARG1,thing desired
ping,ping.01,ARG0,pinger
pinpoint,pinpoint.01,ARG0,decider
pinpoint,pinpoint.01,ARG1,thing decided
pioneer,pioneer.01,ARG0,thinker
pioneer,pioneer.01,ARG1,new idea
pipe,pipe.01,ARG0,causer of motion
pipe,pipe.01,ARG1,thing in motion
pipe,pipe.01,ARG2,destination
pipe,pipe.01,ARG3,source
pipe_up,pipe.02,ARG0,speaker
pipe_up,pipe.02,ARG1,utterance
pipe_down,pipe.03,ARG0,(non-) speaker
pirate,pirate.01,ARG0,"pirate, thief, agent"
pirate,pirate.01,ARG1,thing stolen
pirate,pirate.01,ARG2,stolen from
pit,pit.01,ARG0,entity setting up a fight
pit,pit.01,ARG1,one combatant
pit,pit.01,ARG2,other combatant
pit,pit.02,ARG0,entity removing seeds
pit,pit.02,ARG1,seeds
pitch,pitch.01,ARG0,thrower
pitch,pitch.01,ARG1,thing thrown
pitch,pitch.01,ARG2,"thrown at, to, over, etc"
pitch,pitch.02,ARG0,"setter of tone, agent"
pitch,pitch.02,ARG1,tone
pitch,pitch.02,ARG2,value
pitch,pitch.04,ARG0,"advertiser, agent"
pitch,pitch.04,ARG1,thing touted
pitch,pitch.04,ARG2,attribute of arg1
pitch,pitch.04,ARG3,recipient
pitch_in,pitch.03,ARG0,cooperators
pivot,pivot.01,ARG0,"agent, causer of rotation (rare)"
pivot,pivot.01,ARG1,thing turning
pivot,pivot.01,ARG2,pivot point
placate,placate.01,ARG0,causer
placate,placate.01,ARG1,"patient, made happy"
placate,placate.01,ARG2,instrument or manner
place,place.01,ARG0,putter
place,place.01,ARG1,thing put
place,place.01,ARG2,where put
plague,plague.01,ARG0,"botherer, agent"
plague,plague.01,ARG1,bothered
plague,plague.01,ARG2,"bothered by, plagued with"
plan,plan.01,ARG0,planner
plan,plan.01,ARG1,thing planned
plan,plan.01,ARG2,grounds for planning
plan,plan.01,ARG3,beneficiary
plant,plant.01,ARG0,"putter, agent"
plant,plant.01,ARG1,entity planted
plant,plant.01,ARG2,location
play,play.01,ARG0,player
play,play.01,ARG1,game/music
play,play.01,ARG2,instrument
play,play.02,ARG0,actor
play,play.02,ARG1,role
play_out,play.03,ARG0,"agent, entity causing something to complete"
play_out,play.03,ARG1,thing coming to completion
play_up,play.04,ARG0,"emphasizer, agent"
play_up,play.04,ARG1,topic of discussion
play_down,play.07,ARG0,"deemphasizer, agent"
play_down,play.07,ARG1,topic of discussion
play_off,play.05,ARG0,manipulator
play_off,play.05,ARG1,one victim
play_off,play.05,ARG2,the other victim
play_to,play.06,ARG0,"causer of pleasing, agent"
play_to,play.06,ARG1,entity being pleased
plead,plead.01,ARG0,"begger, appealer"
plead,plead.01,ARG1,"appealed to, begged from"
plead,plead.01,ARG2,begged/appealed for
plead,plead.02,ARG0,the accused
plead,plead.02,ARG1,guilty or innocent
plead,plead.02,ARG2,alleged crime
please,please.01,ARG0,"agent, pleaser"
please,please.01,ARG1,"patient, entity pleased"
please,please.01,ARG2,instrumental
pledge,pledge.01,ARG0,promiser
pledge,pledge.01,ARG1,person promised to
pledge,pledge.01,ARG2,promised thing or action
plot,plot.01,ARG0,"plotter(s), agent"
plot,plot.01,ARG1,"plotted action, plan"
plot_out,plot.02,ARG0,"planner, agent"
plot_out,plot.02,ARG1,entity plotted
plow,plow.01,ARG0,plower
plow,plow.01,ARG1,plowed
plow,plow.01,ARG2,plowed where
pluck,pluck.01,ARG0,"remover, agent"
pluck,pluck.01,ARG1,entity plucked
pluck,pluck.01,ARG2,plucked from
plug,plug.02,ARG0,advertiser
plug,plug.02,ARG1,advertised
plug,plug.04,ARG0,plugger
plug,plug.04,ARG1,(thing with) plug
plug,plug.04,ARG2,socket
plug_up,plug.01,ARG0,causer of blockage
plug_up,plug.01,ARG1,thing becoming blocked
plug_up,plug.01,ARG2,plug
plug_in,plug.03,ARG0,plugger
plug_in,plug.03,ARG1,(thing with) plug
plummet,plummet.01,ARG1,"Logical subject, patient, thing falling"
plummet,plummet.01,ARG2,"EXT, amount fallen"
plummet,plummet.01,ARG3,start point
plummet,plummet.01,ARG4,"end point, end state of arg1"
plummet,plummet.01,ARGM,medium
plunge,plunge.01,ARG1,"Logical subject, patient, thing falling"
plunge,plunge.01,ARG2,"EXT, amount fallen"
plunge,plunge.01,ARG3,start point
plunge,plunge.01,ARG4,"end point, end state of arg1"
plunge,plunge.01,ARGM,medium
plunge,plunge.02,ARG0,"placer, causer of underwater-ness"
plunge,plunge.02,ARG1,thing being put under water
plunge,plunge.02,ARG2,water
plunk,plunk.01,ARG0,"agent, putter"
plunk,plunk.01,ARG1,thing put
plunk,plunk.01,ARG2,where put
ply,ply.01,ARG0,provider
ply,ply.01,ARG1,entity getting stuff
ply,ply.01,ARG2,stuff
ply,ply.02,ARG0,worker
ply,ply.02,ARG1,business/trade/skill
ply,ply.03,ARG0,"agent, pry-er"
ply,ply.03,ARG1,thing pried
ply,ply.03,ARG2,end state/attribute of arg1
poach,poach.01,ARG0,cook
poach,poach.01,ARG1,food
poach,poach.01,ARG2,water
poach,poach.02,ARG0,hunter
poach,poach.02,ARG1,prey
pocket,pocket.01,ARG0,"taker, agent"
pocket,pocket.01,ARG1,thing taken
pockmark,pockmark.01,ARG0,"cause of pox, agent"
pockmark,pockmark.01,ARG1,pockmarked entity
point,point.01,ARG0,pointer
point,point.01,ARG1,thing pointed (defaults to finger)
point,point.01,ARG2,pointed at (a variety of prepositions)
point_out,point.02,ARG0,pointer
point_out,point.02,ARG1,pointed at
poise,poise.01,ARG0,"causer of balancing, agent"
poise,poise.01,ARG1,entity poised
poise,poise.01,ARG2,poised for
poison,poison.01,ARG0,killer
poison,poison.01,ARG1,corpse
poison,poison.01,ARG2,poison
poison,poison.02,ARG0,applier
poison,poison.02,ARG1,poisoned substance
poison,poison.02,ARG2,poison
poke,poke.01,ARG0,"toucher, agent"
poke,poke.01,ARG1,thing touched
poke,poke.01,ARG2,long slender object
poke_around,poke.02,ARG0,"looker, searcher, agent"
poke_around,poke.02,ARG1,place looked in
poke_around,poke.02,ARG2,"thing looked for, goal"
polarize,polarize.01,ARG0,"causer of separation, agent"
polarize,polarize.01,ARG1,thing(s) separated
police,police.01,ARG0,police
police,police.01,ARG1,thing or place being monitored
polish,polish.01,ARG0,polisher
polish,polish.01,ARG1,thing getting shiny
polish,polish.01,ARG2,instrument
polish,polish.01,ARG3,"end state, attribute"
polish_off,polish.02,ARG0,"finisher, agent"
polish_off,polish.02,ARG1,thing finished
politicize,politicize.01,ARG0,"cause, agent"
